%time,field.header.seq,field.header.stamp,field.pose.position.x,field.pose.position.y,field.pose.position.z,field.pose.orientation.x,field.pose.orientation.y,field.pose.orientation.z,field.pose.orientation.w
1683047728.509972817,154,1683047728.509972817,-0.0155857,0.00016922,0.0016703,0.000200631,-6.30534e-05,0.000351607,1
1683047728.673782131,155,1683047728.673782131,-0.0158828,0.00190516,-0.000610157,0.000187321,-0.000123822,0.000322168,1
1683047728.739814524,156,1683047728.739814524,-0.0129633,0.00180401,0.0011244,0.000141587,-7.373e-05,0.000348046,1
1683047728.819819508,157,1683047728.819819508,-0.0143638,0.00116164,0.00327186,0.000157957,-7.26268e-05,0.000380535,1
1683047728.931466160,158,1683047728.931466160,-0.0129075,-0.000434749,0.00365083,0.000184924,-2.80509e-05,0.000362574,1
1683047728.997634461,159,1683047728.997634461,-0.0109924,0.000884972,-0.00165949,0.000185799,-0.000142849,0.000273608,1
1683047729.106866942,160,1683047729.106866942,-0.0116693,0.00173852,-0.00280197,0.000149945,-8.93534e-05,0.000322638,1
1683047729.204775961,161,1683047729.204775961,-0.0126402,0.000313931,-0.0041532,0.00019671,-0.000180556,0.00034574,1
1683047729.301360892,162,1683047729.301360892,-0.00991708,0.00198343,-0.00280632,0.00019361,-8.69074e-05,0.000268058,1
1683047729.413164372,163,1683047729.413164372,-0.00840822,0.00185167,-0.000727245,0.0001849,-0.000121293,0.00027806,1
1683047729.510077200,164,1683047729.510077200,-0.0107685,6.15967e-05,-0.000969784,0.000174291,-0.000122112,0.000332893,1
1683047729.678845197,165,1683047729.678845197,-0.0129991,0.000259822,0.00162524,0.00013835,-9.58481e-05,0.000285817,1
1683047729.711023120,166,1683047729.711023120,-0.0134788,0.000708411,-0.00258762,0.00024913,-0.00010703,0.000289828,1
1683047729.871893264,167,1683047729.871893264,-0.0114787,0.00225421,-0.00394353,0.000161189,-0.000122625,0.000317011,1
1683047729.899877651,168,1683047729.899877651,-0.0141233,0.00161192,-0.00332986,0.000162878,-0.000144726,0.00028783,1
1683047730.002294821,169,1683047730.002294821,-0.0143382,0.00108146,-0.000543039,0.000133757,-0.000138406,0.000392556,1
1683047730.122825717,170,1683047730.122825717,-0.0118035,-0.000391299,-0.000235286,0.000180422,-0.000115304,0.000326341,1
1683047730.218851777,171,1683047730.218851777,-0.0108783,0.00148555,-0.00159362,0.000148721,-0.000115429,0.000267852,1
1683047730.352812163,172,1683047730.352812163,-0.0119886,0.00176146,-0.00170118,0.000140293,-0.000144581,0.000355205,1
1683047730.429053732,173,1683047730.429053732,-0.0162,-0.00159159,0.00094399,0.000124875,-0.000107057,0.000358348,1
1683047730.524636463,174,1683047730.524636463,-0.0141524,-0.000780459,0.00251978,0.000179985,-4.61755e-05,0.000384887,1
1683047730.600654558,175,1683047730.600654558,-0.0146428,-8.90567e-05,-0.00183415,0.000192335,-0.000135629,0.000314738,1
1683047730.702731384,176,1683047730.702731384,-0.0151851,-0.000246762,-0.00355476,0.000135969,-0.00014183,0.000260404,1
1683047730.804974997,177,1683047730.804974997,-0.0156369,0.0011501,-0.00338033,0.00014727,-0.000127773,0.000324756,1
1683047730.910587163,178,1683047730.910587163,-0.0155156,0.000197613,-0.000567846,0.000129223,-0.000115875,0.000362272,1
1683047731.019530199,179,1683047731.019530199,-0.0128945,0.000379075,-0.000143314,0.000191685,-9.14539e-05,0.000354084,1
1683047731.124758862,180,1683047731.124758862,-0.0137126,5.11785e-05,0.000580665,0.000113789,-0.00010118,0.000279092,1
1683047731.225727909,181,1683047731.225727909,-0.0118337,1.0951e-05,0.00123471,0.000177357,-6.98949e-05,0.000358628,1
1683047731.333021848,182,1683047731.333021848,-0.0156128,-0.000200607,0.00240384,0.000165441,-0.000103122,0.000358853,1
1683047731.428554313,183,1683047731.428554313,-0.0136878,-0.00181296,0.00251886,0.000180783,-1.28111e-05,0.000454923,1
