time_stamp, average time, incremental time, search time,fov check time, total time, alpha_bal, alpha_del
1577840635.89963293,0.05847890,0.01880503,0.00000460,41356.00000000,0.03277582,0.000000,0.000000
1577840635.99947000,0.05841836,0.00310210,0.00000617,41352.00000000,0.02566154,0.000000,0.000000
1577840636.09929180,0.05841576,0.00295976,0.00000592,41361.00000000,0.05701168,0.000000,0.000000
1577840636.19991708,0.05834065,0.00322497,0.00000462,41359.00000000,0.01755335,0.000000,0.000000
1577840636.29978108,0.05827059,0.00302314,0.00000489,41359.00000000,0.02016011,0.000000,0.000000
1577840636.39963794,0.05820022,0.00249361,0.00000511,41361.00000000,0.01984877,0.000000,0.000000
1577840636.49948287,0.05824595,0.00732255,0.00000814,41337.00000000,0.08321369,0.000000,0.000000
1577840636.59932709,0.05823747,0.00651762,0.00000805,41340.00000000,0.05359689,0.000000,0.000000
1577840636.69996214,0.05816324,0.00246007,0.00000498,41345.00000000,0.01748679,0.000000,0.000000
1577840636.79979587,0.05820620,0.00254834,0.00000915,41340.00000000,0.08179042,0.000000,0.000000
1577840636.89964890,0.05820749,0.00239177,0.00000570,41350.00000000,0.05891909,0.000000,0.000000
1577840636.99949217,0.05814832,0.00737346,0.00000550,41349.00000000,0.02554088,0.000000,0.000000
1577840637.09933209,0.05810191,0.00331191,0.00000590,41354.00000000,0.03248651,0.000000,0.000000
1577840637.19997597,0.05807960,0.01534844,0.00000531,41360.00000000,0.04574307,0.000000,0.000000
1577840637.29981494,0.05803652,0.00402968,0.00000508,41349.00000000,0.03416805,0.000000,0.000000
1577840637.39966011,0.05797258,0.00237864,0.00000519,41349.00000000,0.02248761,0.000000,0.000000
1577840637.49949312,0.05790637,0.00228579,0.00000527,41352.00000000,0.02109009,0.000000,0.000000
1577840637.59933686,0.05786017,0.00311490,0.00000761,41356.00000000,0.03212915,0.000000,0.000000
1577840637.69996119,0.05779054,0.00237854,0.00000518,41347.00000000,0.01893440,0.000000,0.000000
1577840637.79980707,0.05773790,0.00312344,0.00000512,41355.00000000,0.02831726,0.000000,0.000000
1577840637.89965320,0.05766777,0.00292250,0.00000509,41350.00000000,0.01839268,0.000000,0.000000
1577840637.99948001,0.05769936,0.00305249,0.00000591,41359.00000000,0.07542349,0.000000,0.000000
